,year,region,liceses_d,geo_point,x,y
152,1993,Riyadh,103886,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766
325,1993,Qassim,73618,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455
186,1993,Makkah,65977,"21.628962766, 41.2636898334",21.628962766, 41.2636898334
216,1993,Hail,10484,"27.400845724, 41.4406960508",27.400845724, 41.4406960508
332,1993,Eastern Region,9964,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439
338,1993,Asir,6226,"19.1387847401, 42.941470036",19.1387847401, 42.941470036
38,1993,Jazan,6009,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422
249,1993,Madinah,4122,"24.927534539, 39.4918237173",24.927534539, 39.4918237173
226,1993,Najran,3769,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726
132,1993,Al-Baaha,3270,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892
211,1993,Tabouk,3174,"27.90165499, 37.2598581394",27.90165499, 37.2598581394
235,1993,Al-Jouf,2884,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172
34,1993,Northern Boarder,1510,"30.197074783, 41.8171186952",30.197074783, 41.8171186952
154,1994,Riyadh,110545,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766
1,1994,Makkah,75349,"21.628962766, 41.2636898334",21.628962766, 41.2636898334
89,1994,Qassim,68916,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455
274,1994,Hail,11131,"27.400845724, 41.4406960508",27.400845724, 41.4406960508
259,1994,Eastern Region,10918,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439
339,1994,Asir,5185,"19.1387847401, 42.941470036",19.1387847401, 42.941470036
302,1994,Najran,3880,"18.4511003068, 46.8688495726",18.4511003068, 46.8688495726
122,1994,Jazan,3826,"17.2072313962, 42.6525807422",17.2072313962, 42.6525807422
9,1994,Madinah,3767,"24.927534539, 39.4918237173",24.927534539, 39.4918237173
103,1994,Tabouk,3282,"27.90165499, 37.2598581394",27.90165499, 37.2598581394
52,1994,Al-Baaha,2729,"20.1484058503, 41.4665484892",20.1484058503, 41.4665484892
140,1994,Al-Jouf,2535,"29.9677445762, 39.5570371172",29.9677445762, 39.5570371172
281,1994,Northern Boarder,1457,"30.197074783, 41.8171186952",30.197074783, 41.8171186952
153,1995,Riyadh,101608,"23.0814341634, 45.5857512766",23.0814341634, 45.5857512766
187,1995,Makkah,60356,"21.628962766, 41.2636898334",21.628962766, 41.2636898334
14,1995,Qassim,49690,"26.1967063704, 43.3429998455",26.1967063704, 43.3429998455
109,1995,Hail,9735,"27.400845724, 41.4406960508",27.400845724, 41.4406960508
258,1995,Eastern Region,7831,"23.2883307307, 50.1478302439",23.2883307307, 50.1478302439
