,variable,value
0,1993,Northern Boarder
1,1994,Northern Boarder
2,1995,Northern Boarder
3,1996,Northern Boarder
4,1997,Northern Boarder
5,1998,Northern Boarder
6,1999,Northern Boarder
7,2000,Northern Boarder
8,2001,Northern Boarder
9,2002,Northern Boarder
10,2003,Northern Boarder
11,2004,Northern Boarder
12,2005,Northern Boarder
13,2006,Northern Boarder
14,2007,Al-Baaha
15,2008,Northern Boarder
16,2009,Northern Boarder
17,2010,Northern Boarder
18,2011,Northern Boarder
19,2012,Northern Boarder
20,2013,Northern Boarder
21,2014,Northern Boarder
22,2015,Tabouk
23,2016,Najran
24,2017,Al-Baaha
